Frequency (Hz)	Level (dB)
5.383301	-20.129892
10.766602	-21.608292
16.149902	-24.941187
21.533203	-25.312162
26.916504	-26.990036
32.299805	-24.776493
37.683105	-23.720659
43.066406	-27.332775
48.449707	-26.137901
53.833008	-24.999304
59.216309	-27.816217
64.599609	-28.608780
69.982910	-28.288832
75.366211	-28.780136
80.749512	-29.064714
86.132812	-30.756042
91.516113	-30.616682
96.899414	-30.265291
102.282715	-30.376326
107.666016	-33.231213
113.049316	-31.860317
118.432617	-30.788885
123.815918	-30.746214
129.199219	-30.971428
134.582520	-29.836693
139.965820	-32.288010
145.349121	-32.359646
150.732422	-33.225674
156.115723	-33.266125
161.499023	-32.406715
166.882324	-30.491608
172.265625	-30.755539
177.648926	-33.670914
183.032227	-37.254444
188.415527	-34.652004
193.798828	-32.964569
199.182129	-35.586205
204.565430	-36.050163
209.948730	-33.968479
215.332031	-34.961136
220.715332	-35.584797
226.098633	-32.659172
231.481934	-32.735588
236.865234	-34.153923
242.248535	-33.620831
247.631836	-31.653868
253.015137	-32.701351
258.398438	-34.814125
263.781738	-35.446381
269.165039	-34.912651
274.548340	-35.984272
279.931641	-36.488621
285.314941	-36.919468
290.698242	-35.364754
296.081543	-34.819927
301.464844	-34.793159
306.848145	-34.647953
312.231445	-35.347843
317.614746	-35.729492
322.998047	-35.684155
328.381348	-35.045353
333.764648	-36.357845
339.147949	-35.069767
344.531250	-37.211510
349.914551	-37.756977
355.297852	-37.794117
360.681152	-37.605259
366.064453	-37.104023
371.447754	-36.934765
376.831055	-36.937393
382.214355	-35.266857
387.597656	-35.016819
392.980957	-36.142933
398.364258	-36.007614
403.747559	-36.378441
409.130859	-37.956333
414.514160	-37.642185
419.897461	-37.803040
425.280762	-37.400776
430.664062	-39.081158
436.047363	-39.307194
441.430664	-40.755981
446.813965	-38.402794
452.197266	-35.603249
457.580566	-37.216129
462.963867	-37.569439
468.347168	-36.629421
473.730469	-36.786686
479.113770	-37.884911
484.497070	-37.916733
489.880371	-39.415531
495.263672	-42.928078
500.646973	-39.863064
506.030273	-36.292202
511.413574	-37.992718
516.796875	-37.717194
522.180176	-38.139530
527.563477	-38.084969
532.946777	-38.863220
538.330078	-38.598221
543.713379	-38.343857
549.096680	-38.149700
554.479980	-38.588070
559.863281	-36.978661
565.246582	-38.485424
570.629883	-40.895203
576.013184	-39.180859
581.396484	-39.849052
586.779785	-39.746056
592.163086	-39.701836
597.546387	-38.530766
602.929688	-37.804909
608.312988	-36.868408
